,wind_deg,wind_speed,humidity,pressure,temp_max,temp_min,feels_like,dew_point,temp,weather_description
3063,200,6.7,49,1012,16.84,14.8,14.58,5.01,15.68,1
3064,290,8.8,20,1014,18.9,16.98,16.18,-4.81,17.82,1
3065,260,4.1,21,1026,16.1,15.04,13.59,-6.01,15.44,1
3066,210,8.2,32,1022,23.51,21.15,21.48,4.87,22.35,1
3067,200,5.7,58,1021,23.41,20.44,21.59,13.22,21.84,1
3068,220,8.2,52,1020,27.11,23.05,25.02,14.56,25.1,1
3069,220,7.2,73,1020,23.92,20.9,22.55,17.28,22.35,1
3070,240,5.1,61,1020,25.0,21.45,22.73,14.89,22.8,2
3071,70,3.1,100,1025,19.48,13.0,17.67,17.28,17.28,1
3072,210,10.8,57,1017,25.42,22.39,23.77,14.81,23.84,1
3073,50,5.7,96,1025,10.85,9.4,10.19,9.96,10.57,2
3074,50,8.2,96,1025,9.62,8.3,5.54,8.57,9.17,2
3075,30,4.1,86,1023,10.14,8.9,7.71,7.57,9.8,1
3076,120,4.6,71,1025,12.35,11.1,10.81,6.65,11.73,1
3077,130,4.1,71,1025,13.75,12.19,12.01,7.7,12.82,1
3078,100,3.1,80,1015,16.92,13.3,14.7,11.63,15.05,1
3079,160,1.5,67,1017,18.9,16.7,17.35,11.57,17.77,1
3080,200,6.2,35,1021,18.9,15.42,15.36,1.2,16.72,1
3081,200,7.2,65,1011,21.37,19.77,20.34,13.73,20.53,1
3082,220,3.1,84,1005,21.45,19.97,21.08,17.96,20.76,2
3083,220,5.7,45,1009,25.6,22.28,23.27,11.05,23.67,1
3084,290,4.1,34,1011,27.8,25.3,26.41,9.57,26.72,1
3085,80,2.1,70,1011,23.58,20.0,21.94,16.16,21.87,1
3086,60,2.6,48,1014,25.77,22.62,23.87,12.46,24.15,1
3087,120,4.1,56,1018,20.51,17.67,18.35,9.98,18.94,1
3088,70,3.6,100,1018,14.89,12.2,14.32,14.23,14.23,2
3089,0,0.0,83,1010,22.6,18.9,21.63,18.28,21.28,1
3090,140,3.6,62,1020,18.52,16.69,16.97,10.19,17.54,1
3091,200,5.7,50,1014,21.53,18.88,19.49,9.38,20.12,1
3092,60,1.5,70,1015,23.42,20.0,21.78,16.01,21.72,1
3093,190,5.7,50,1018,19.48,18.15,18.04,8.17,18.8,1
3094,140,3.1,96,1005,24.18,17.8,22.84,21.4,22.07,2
3095,50,2.1,84,1014,24.33,19.4,22.86,19.53,22.37,1
3096,220,6.7,69,1005,26.7,23.73,25.16,18.75,24.82,2
3097,330,4.6,33,1014,26.1,23.23,23.79,7.13,24.43,1
3098,0,3.1,46,1014,25.0,21.26,22.34,10.59,22.8,1
3099,100,1.5,77,1018,19.46,16.1,18.11,14.12,18.22,1
3100,110,5.1,83,1021,18.23,16.7,17.62,14.71,17.63,1
3101,350,5.7,92,1007,13.56,12.2,12.97,11.92,13.19,2
3102,240,4.1,70,1012,21.7,20.34,21.12,15.44,21.12,1
3103,0,0.0,83,1014,22.71,18.9,21.65,18.3,21.3,1
3104,230,7.7,62,1007,25.6,22.42,23.29,15.61,23.29,1
3105,280,4.1,49,1011,23.9,22.39,22.76,11.82,23.11,1
3106,110,3.1,56,1015,22.6,20.73,21.32,12.49,21.64,1
3107,100,2.6,70,1015,19.99,18.3,19.01,13.61,19.21,1
3108,240,4.1,48,1018,26.7,23.71,24.97,13.37,25.15,1
3109,190,5.1,66,1020,25.76,24.11,25.23,18.17,24.96,1
3110,200,7.7,79,1015,26.04,24.72,26.04,21.47,25.38,1
3111,340,4.6,42,1014,26.7,24.12,25.0,11.5,25.32,1
3112,110,3.6,78,1013,20.68,18.3,19.52,15.55,19.48,2
3113,140,2.1,59,1014,25.44,23.3,24.3,15.76,24.28,1
3114,270,3.6,39,1016,28.3,24.72,26.0,10.99,26.0,1
3115,240,4.6,51,1013,28.9,26.64,28.26,16.7,27.75,1
3116,60,3.1,89,1012,23.98,20.0,23.2,20.66,22.56,1
3117,160,3.1,81,1003,24.4,23.18,24.28,20.29,23.74,1
